,WEEK_START,MSA,average_rent,total_population,total_household,physical_visits,virtual_visits
0,2015-01-05,"Charleston, SC",1650.9522,697281.0,264864.0,4649.0,10848.0
1,2015-01-05,"Houston, TX",1677.7294,6204141.0,2112447.0,49633.0,99266.0
2,2015-01-05,"Phoenix, AZ",1264.2386,4337542.0,1550372.0,34700.0,69400.0
3,2015-01-12,"Charleston, SC",1650.9522,697281.0,264864.0,6973.0,9762.0
4,2015-01-12,"Houston, TX",1572.582,6204141.0,2112447.0,31021.0,62042.0
5,2015-01-12,"Los Angeles, CA",2126.7514,13060534.0,4244676.0,78363.0,261210.0
6,2015-01-12,"Phoenix, AZ",1156.4327,4337542.0,1550372.0,28917.0,34700.0
7,2015-01-19,"Charleston, SC",1650.9522,697281.0,264864.0,5578.0,20453.0
8,2015-01-19,"Houston, TX",1560.2549,6204141.0,2112447.0,62041.0,155102.0
9,2015-01-19,"Los Angeles, CA",2126.7514,13060534.0,4244676.0,130605.0,348280.0
10,2015-01-19,"Phoenix, AZ",1159.5916,4337542.0,1550372.0,57834.0,231336.0
11,2015-01-26,"Charleston, SC",1650.9522,697281.0,264864.0,10459.0,20918.0
12,2015-01-26,"Durham, NC",840.8125,525050.0,206783.0,3150.0,3780.0
13,2015-01-26,"Houston, TX",1560.2555,6204141.0,2112447.0,24817.0,90996.0
14,2015-01-26,"Los Angeles, CA",2142.9392,13060534.0,4244676.0,87070.0,217675.0
15,2015-01-26,"Phoenix, AZ",1134.4593,4337542.0,1550372.0,43375.0,75906.0
16,2015-02-02,"Charleston, SC",1650.9522,697281.0,264864.0,3486.0,8715.0
17,2015-02-02,"Durham, NC",840.8125,525050.0,206783.0,7001.0,14002.0
18,2015-02-02,"Houston, TX",1733.0773,6204141.0,2112447.0,41361.0,99266.0
19,2015-02-02,"Los Angeles, CA",2142.9392,13060534.0,4244676.0,65303.0,163258.0
20,2015-02-02,"Phoenix, AZ",1135.254,4337542.0,1550372.0,17350.0,38170.0
21,2015-02-09,"Charleston, SC",1650.9522,697281.0,264864.0,5230.0,14382.0
22,2015-02-09,"Durham, NC",859.4083,525050.0,206783.0,3500.0,7000.0
23,2015-02-09,"Houston, TX",1547.509,6204141.0,2112447.0,31021.0,93063.0
24,2015-02-09,"Los Angeles, CA",2034.0072,13060534.0,4244676.0,130605.0,208968.0
25,2015-02-09,"Orlando, FL",1232.7523,2226835.0,779612.0,14846.0,25980.0
26,2015-02-09,"Phoenix, AZ",1142.9418,4337542.0,1550372.0,17350.0,57833.0
27,2015-02-16,"Charleston, SC",1650.9522,697281.0,264864.0,6973.0,9762.0
28,2015-02-16,"Durham, NC",859.4083,525050.0,206783.0,5250.0,13125.0
29,2015-02-16,"Houston, TX",1559.5374,6204141.0,2112447.0,24817.0,44671.0
30,2015-02-16,"Los Angeles, CA",1945.054,13060534.0,4244676.0,78363.0,235089.0
31,2015-02-16,"Orlando, FL",1232.7523,2226835.0,779612.0,22268.0,50103.0
32,2015-02-16,"Phoenix, AZ",1149.4288,4337542.0,1550372.0,17350.0,34700.0
33,2015-02-23,"Charleston, SC",1650.9522,697281.0,264864.0,9297.0,24792.0
34,2015-02-23,"Durham, NC",871.8056,525050.0,206783.0,3150.0,8662.0
35,2015-02-23,"Houston, TX",1559.5377,6204141.0,2112447.0,31021.0,54287.0
36,2015-02-23,"Los Angeles, CA",1850.9632,13060534.0,4244676.0,130605.0,391815.0
37,2015-02-23,"Orlando, FL",1232.7523,2226835.0,779612.0,8907.0,15587.0
38,2015-02-23,"Phoenix, AZ",1251.1402,4337542.0,1550372.0,26025.0,41640.0
39,2015-03-02,"Charleston, SC",1650.9522,697281.0,264864.0,9297.0,20918.0
40,2015-03-02,"Durham, NC",871.8056,525050.0,206783.0,2625.0,5250.0
41,2015-03-02,"Houston, TX",1413.6166,6204141.0,2112447.0,37225.0,99267.0
42,2015-03-02,"Los Angeles, CA",1899.1516,13060534.0,4244676.0,97954.0,146931.0
43,2015-03-02,"Orlando, FL",1232.7523,2226835.0,779612.0,22268.0,35629.0
44,2015-03-02,"Phoenix, AZ",1198.3094,4337542.0,1550372.0,21688.0,34701.0
45,2015-03-09,"Durham, NC",881.8462,525050.0,206783.0,3150.0,6930.0
46,2015-03-09,"Houston, TX",1461.3553,6204141.0,2112447.0,124083.0,310208.0
47,2015-03-09,"Los Angeles, CA",1908.4649,13060534.0,4244676.0,78363.0,156726.0
48,2015-03-09,"Phoenix, AZ",1183.2258,4337542.0,1550372.0,17350.0,20820.0
49,2015-03-16,"Durham, NC",881.8462,525050.0,206783.0,7001.0,9801.0
50,2015-03-16,"Houston, TX",1512.2879,6204141.0,2112447.0,62041.0,248164.0
51,2015-03-16,"Los Angeles, CA",1942.381,13060534.0,4244676.0,87070.0,203163.0
52,2015-03-16,"Phoenix, AZ",1186.4372,4337542.0,1550372.0,43375.0,144583.0
53,2015-03-23,"Ann Arbor, MI",1150.2023,351454.0,136471.0,3515.0,5272.0
54,2015-03-23,"Charleston, SC",1650.9522,697281.0,264864.0,6973.0,9762.0
55,2015-03-23,"Durham, NC",881.8462,525050.0,206783.0,3150.0,10500.0
56,2015-03-23,"Houston, TX",1717.776,6204141.0,2112447.0,124083.0,248166.0
57,2015-03-23,"Los Angeles, CA",1942.381,13060534.0,4244676.0,78363.0,188071.0
58,2015-03-23,"Phoenix, AZ",1141.1564,4337542.0,1550372.0,34700.0,52050.0
59,2015-03-30,"Ann Arbor, MI",1150.2023,351454.0,136471.0,3515.0,10545.0
60,2015-03-30,"Charleston, SC",1650.9522,697281.0,264864.0,4184.0,11157.0
61,2015-03-30,"Durham, NC",881.8462,525050.0,206783.0,2625.0,8750.0
62,2015-03-30,"Houston, TX",1771.0511,6204141.0,2112447.0,31021.0,62042.0
63,2015-03-30,"Los Angeles, CA",2105.8421,13060534.0,4244676.0,130605.0,326512.0
64,2015-03-30,"Phoenix, AZ",1183.4223,4337542.0,1550372.0,28917.0,106029.0
65,2015-04-06,"Ann Arbor, MI",1150.2023,351454.0,136471.0,7029.0,18744.0
66,2015-04-06,"Charleston, SC",1650.9522,697281.0,264864.0,6973.0,16270.0
67,2015-04-06,"Houston, TX",1771.0511,6204141.0,2112447.0,93062.0,279186.0
68,2015-04-06,"Los Angeles, CA",2105.8421,13060534.0,4244676.0,65303.0,130606.0
69,2015-04-06,"Phoenix, AZ",1169.4548,4337542.0,1550372.0,43375.0,52050.0
70,2015-04-13,"Ann Arbor, MI",1150.2023,351454.0,136471.0,2812.0,3374.0
71,2015-04-13,"Charleston, SC",1650.9522,697281.0,264864.0,2789.0,4462.0
72,2015-04-13,"Houston, TX",1780.9523,6204141.0,2112447.0,82722.0,99266.0
73,2015-04-13,"Los Angeles, CA",2105.8421,13060534.0,4244676.0,65303.0,104485.0
74,2015-04-13,"Phoenix, AZ",1225.1709,4337542.0,1550372.0,43375.0,86750.0
75,2015-04-20,"Charleston, SC",1507.9677,697281.0,264864.0,13946.0,37189.0
76,2015-04-20,"Charlotte, NC",916.9007,2298915.0,857926.0,18391.0,41380.0
77,2015-04-20,"Durham, NC",1060.7226,525050.0,206783.0,3150.0,5670.0
78,2015-04-20,"Houston, TX",1572.8443,6204141.0,2112447.0,82722.0,148900.0
79,2015-04-20,"Los Angeles, CA",2105.8421,13060534.0,4244676.0,261211.0,391816.0
80,2015-04-20,"Phoenix, AZ",1227.4814,4337542.0,1550372.0,43375.0,60725.0
81,2015-04-27,"Ann Arbor, MI",1118.8539,351454.0,136471.0,2812.0,10311.0
82,2015-04-27,"Charleston, SC",1544.1098,697281.0,264864.0,6973.0,17432.0
83,2015-04-27,"Charlotte, NC",916.9007,2298915.0,857926.0,11495.0,30653.0
84,2015-04-27,"Durham, NC",1060.7226,525050.0,206783.0,5250.0,7350.0
85,2015-04-27,"Houston, TX",1481.8402,6204141.0,2112447.0,24817.0,54597.0
86,2015-04-27,"Los Angeles, CA",2099.6716,13060534.0,4244676.0,130605.0,195908.0
87,2015-04-27,"Phoenix, AZ",1229.5261,4337542.0,1550372.0,57834.0,86751.0
88,2015-05-04,"Ann Arbor, MI",1118.8539,351454.0,136471.0,5272.0,7908.0
89,2015-05-04,"Charleston, SC",1544.1098,697281.0,264864.0,5578.0,12550.0
90,2015-05-04,"Charlotte, NC",916.9007,2298915.0,857926.0,34484.0,86210.0
91,2015-05-04,"Durham, NC",1060.7226,525050.0,206783.0,3938.0,11814.0
92,2015-05-04,"Houston, TX",1610.1966,6204141.0,2112447.0,49633.0,74450.0
93,2015-05-04,"Los Angeles, CA",2099.6716,13060534.0,4244676.0,130605.0,235089.0
94,2015-05-04,"Phoenix, AZ",1210.0024,4337542.0,1550372.0,43375.0,95425.0
95,2015-05-04,"Portland, OR",2450.5476,2288796.0,878078.0,22888.0,45776.0
96,2015-05-11,"Ann Arbor, MI",1118.8539,351454.0,136471.0,3515.0,8788.0
97,2015-05-11,"Charleston, SC",1544.1098,697281.0,264864.0,4184.0,10460.0
98,2015-05-11,"Charlotte, NC",916.9007,2298915.0,857926.0,11495.0,22990.0
99,2015-05-11,"Durham, NC",1060.7226,525050.0,206783.0,3938.0,8664.0
100,2015-05-11,"Houston, TX",1566.164,6204141.0,2112447.0,62041.0,144762.0
101,2015-05-11,"Los Angeles, CA",2099.6716,13060534.0,4244676.0,130605.0,261210.0
102,2015-05-11,"Phoenix, AZ",1192.5962,4337542.0,1550372.0,57834.0,192780.0
103,2015-05-11,"Portland, OR",2450.5476,2288796.0,878078.0,17166.0,34332.0
104,2015-05-18,"Ann Arbor, MI",1118.8539,351454.0,136471.0,5272.0,7908.0
105,2015-05-18,"Charleston, SC",1650.9522,697281.0,264864.0,2789.0,4462.0
106,2015-05-18,"Houston, TX",1624.4609,6204141.0,2112447.0,46531.0,93062.0
107,2015-05-18,"Los Angeles, CA",2099.6716,13060534.0,4244676.0,97954.0,195908.0
108,2015-05-18,"Phoenix, AZ",1203.1821,4337542.0,1550372.0,43375.0,86750.0
109,2015-05-18,"Portland, OR",2450.5476,2288796.0,878078.0,11444.0,38147.0
110,2015-05-25,"Ann Arbor, MI",1118.8539,351454.0,136471.0,4686.0,9372.0
111,2015-05-25,"Charleston, SC",1650.9522,697281.0,264864.0,5230.0,11768.0
112,2015-05-25,"Dallas, TX",1358.5867,6703020.0,2370055.0,67030.0,117302.0
113,2015-05-25,"Houston, TX",1623.2849,6204141.0,2112447.0,62041.0,124082.0
114,2015-05-25,"Phoenix, AZ",1206.9331,4337542.0,1550372.0,17350.0,69400.0
115,2015-05-25,"Portland, OR",2450.5476,2288796.0,878078.0,9155.0,16479.0
116,2015-06-01,"Ann Arbor, MI",1118.8539,351454.0,136471.0,2636.0,6590.0
117,2015-06-01,"Austin, TX",1264.6217,1835016.0,673901.0,18350.0,48933.0
118,2015-06-01,"Charleston, SC",1650.9522,697281.0,264864.0,6973.0,16270.0
119,2015-06-01,"Dallas, TX",1358.5867,6703020.0,2370055.0,67030.0,268120.0
120,2015-06-01,"Houston, TX",1621.6641,6204141.0,2112447.0,31021.0,124084.0
121,2015-06-01,"Los Angeles, CA",2084.7777,13060534.0,4244676.0,78363.0,235089.0
122,2015-06-01,"Phoenix, AZ",1218.0424,4337542.0,1550372.0,17350.0,26025.0
123,2015-06-08,"Ann Arbor, MI",1118.8539,351454.0,136471.0,2812.0,7030.0
124,2015-06-08,"Austin, TX",1264.6217,1835016.0,673901.0,24467.0,48934.0
125,2015-06-08,"Charleston, SC",1650.9522,697281.0,264864.0,4184.0,6276.0
126,2015-06-08,"Dallas, TX",1346.0183,6703020.0,2370055.0,53624.0,196621.0
127,2015-06-08,"Houston, TX",1621.3645,6204141.0,2112447.0,46531.0,127960.0
128,2015-06-08,"Los Angeles, CA",2084.7777,13060534.0,4244676.0,174140.0,243796.0
129,2015-06-08,"Phoenix, AZ",1246.9677,4337542.0,1550372.0,26025.0,31230.0
130,2015-06-08,"Portland, OR",2464.3271,2288796.0,878078.0,34332.0,75530.0
131,2015-06-15,"Ann Arbor, MI",1118.8539,351454.0,136471.0,4686.0,7029.0
132,2015-06-15,"Atlanta, GA",949.5556,5455053.0,1936823.0,21820.0,50913.0
133,2015-06-15,"Austin, TX",1264.6217,1835016.0,673901.0,27525.0,41288.0
134,2015-06-15,"Charleston, SC",1650.9522,697281.0,264864.0,3486.0,12782.0
135,2015-06-15,"Dallas, TX",1353.3903,6703020.0,2370055.0,44687.0,107249.0
136,2015-06-15,"Houston, TX",1620.7752,6204141.0,2112447.0,31021.0,77552.0
137,2015-06-15,"Los Angeles, CA",2084.7777,13060534.0,4244676.0,87070.0,152372.0
138,2015-06-15,"Phoenix, AZ",1290.2635,4337542.0,1550372.0,86751.0,156152.0
139,2015-06-15,"Portland, OR",2472.371,2288796.0,878078.0,13733.0,27466.0
140,2015-06-22,"Atlanta, GA",949.5556,5455053.0,1936823.0,54551.0,181837.0
141,2015-06-22,"Austin, TX",1264.6217,1835016.0,673901.0,14680.0,20552.0
142,2015-06-22,"Charleston, SC",1650.9522,697281.0,264864.0,9297.0,20918.0
143,2015-06-22,"Dallas, TX",1356.0214,6703020.0,2370055.0,89374.0,214498.0
144,2015-06-22,"Houston, TX",1609.0744,6204141.0,2112447.0,49633.0,119119.0
145,2015-06-22,"Los Angeles, CA",2084.7777,13060534.0,4244676.0,97954.0,195908.0
146,2015-06-22,"Phoenix, AZ",1262.7703,4337542.0,1550372.0,32532.0,52051.0
147,2015-06-22,"Portland, OR",2469.969,2288796.0,878078.0,13733.0,34332.0
148,2015-06-29,"Atlanta, GA",1135.0025,5455053.0,1936823.0,32730.0,58914.0
149,2015-06-29,"Charleston, SC",1650.9522,697281.0,264864.0,2789.0,10226.0
150,2015-06-29,"Dallas, TX",1358.2685,6703020.0,2370055.0,50273.0,75410.0
151,2015-06-29,"Houston, TX",1576.3194,6204141.0,2112447.0,93062.0,209390.0
152,2015-06-29,"Los Angeles, CA",2147.7926,13060534.0,4244676.0,52242.0,208968.0
153,2015-06-29,"Phoenix, AZ",1392.9439,4337542.0,1550372.0,43375.0,130125.0
154,2015-06-29,"Portland, OR",2469.969,2288796.0,878078.0,45776.0,102996.0
155,2015-06-29,"San Antonio, TX",1175.5395,2239222.0,771789.0,8957.0,23885.0
156,2015-07-06,"Atlanta, GA",1135.0025,5455053.0,1936823.0,27275.0,100008.0
157,2015-07-06,"Charleston, SC",1650.9522,697281.0,264864.0,4649.0,6509.0
158,2015-07-06,"Dallas, TX",1366.3958,6703020.0,2370055.0,26812.0,98311.0
159,2015-07-06,"Houston, TX",1580.387,6204141.0,2112447.0,24817.0,74451.0
160,2015-07-06,"Los Angeles, CA",2147.7926,13060534.0,4244676.0,130605.0,359164.0
161,2015-07-06,"Phoenix, AZ",1272.1225,4337542.0,1550372.0,43375.0,95425.0
162,2015-07-06,"Portland, OR",2470.399,2288796.0,878078.0,13733.0,36621.0
163,2015-07-06,"San Antonio, TX",1175.5395,2239222.0,771789.0,22392.0,67176.0
164,2015-07-06,"San Francisco, CA",4267.6052,4466251.0,1642466.0,66994.0,167485.0
165,2015-07-13,"Atlanta, GA",1187.4874,5455053.0,1936823.0,54551.0,65461.0
166,2015-07-13,"Charleston, SC",1650.9522,697281.0,264864.0,5230.0,10460.0
167,2015-07-13,"Dallas, TX",1370.6751,6703020.0,2370055.0,53624.0,128698.0
168,2015-07-13,"Houston, TX",1493.194,6204141.0,2112447.0,37225.0,67005.0
169,2015-07-13,"Los Angeles, CA",2147.7926,13060534.0,4244676.0,78363.0,141053.0
170,2015-07-13,"Phoenix, AZ",1227.2656,4337542.0,1550372.0,17350.0,63617.0
171,2015-07-13,"Portland, OR",2474.9663,2288796.0,878078.0,18310.0,48827.0
172,2015-07-13,"San Antonio, TX",1175.5395,2239222.0,771789.0,33588.0,100764.0
173,2015-07-13,"San Francisco, CA",4267.6052,4466251.0,1642466.0,44663.0,111658.0
174,2015-07-20,"Atlanta, GA",1187.4874,5455053.0,1936823.0,36367.0,72734.0
175,2015-07-20,"Dallas, TX",1373.3857,6703020.0,2370055.0,89374.0,201092.0
176,2015-07-20,"Houston, TX",1463.4676,6204141.0,2112447.0,31021.0,68246.0
177,2015-07-20,"Los Angeles, CA",2154.9992,13060534.0,4244676.0,65303.0,117545.0
178,2015-07-20,"Phoenix, AZ",1225.4757,4337542.0,1550372.0,28917.0,106029.0
179,2015-07-20,"Portland, OR",2479.9844,2288796.0,878078.0,11444.0,13733.0
180,2015-07-20,"San Antonio, TX",1175.5395,2239222.0,771789.0,29856.0,99520.0
181,2015-07-20,"San Francisco, CA",4267.6052,4466251.0,1642466.0,35730.0,98258.0
182,2015-07-20,"Tucson, AZ",814.0289,993144.0,386155.0,5959.0,10726.0
183,2015-07-27,"Ann Arbor, MI",1117.1436,351454.0,136471.0,2343.0,4217.0
184,2015-07-27,"Boston, MA",2334.8869,4650876.0,1764845.0,46509.0,111622.0
185,2015-07-27,"Charleston, SC",1650.9522,697281.0,264864.0,5578.0,16734.0
186,2015-07-27,"Dallas, TX",1375.0034,6703020.0,2370055.0,100545.0,301635.0
187,2015-07-27,"Houston, TX",1614.4338,6204141.0,2112447.0,31021.0,85308.0
188,2015-07-27,"Los Angeles, CA",2263.2141,13060534.0,4244676.0,130605.0,391815.0
189,2015-07-27,"Phoenix, AZ",1226.6978,4337542.0,1550372.0,43375.0,115667.0
190,2015-07-27,"Portland, OR",2455.3304,2288796.0,878078.0,11444.0,25177.0
191,2015-07-27,"San Antonio, TX",1175.5395,2239222.0,771789.0,22392.0,50382.0
192,2015-07-27,"San Francisco, CA",4267.6052,4466251.0,1642466.0,33497.0,40196.0
193,2015-07-27,"Tucson, AZ",814.0289,993144.0,386155.0,14897.0,33518.0
194,2015-08-03,"Ann Arbor, MI",1117.1436,351454.0,136471.0,2343.0,9372.0
195,2015-08-03,"Boston, MA",2334.8869,4650876.0,1764845.0,69763.0,139526.0
196,2015-08-03,"Charleston, SC",1650.9522,697281.0,264864.0,9297.0,18594.0
197,2015-08-03,"Dallas, TX",1378.5219,6703020.0,2370055.0,44687.0,89374.0
198,2015-08-03,"Houston, TX",1614.2335,6204141.0,2112447.0,49633.0,111674.0
199,2015-08-03,"Los Angeles, CA",2191.8486,13060534.0,4244676.0,130605.0,304745.0
200,2015-08-03,"Phoenix, AZ",1250.7956,4337542.0,1550372.0,65063.0,130126.0
201,2015-08-03,"Portland, OR",2441.1324,2288796.0,878078.0,18310.0,42723.0
202,2015-08-03,"San Antonio, TX",1175.5395,2239222.0,771789.0,13435.0,30229.0
203,2015-08-03,"Tucson, AZ",814.0289,993144.0,386155.0,5959.0,11918.0
204,2015-08-10,"Ann Arbor, MI",1117.1436,351454.0,136471.0,5272.0,17573.0
205,2015-08-10,"Boston, MA",2334.8869,4650876.0,1764845.0,34882.0,55811.0
206,2015-08-10,"Charleston, SC",1650.9522,697281.0,264864.0,6973.0,16735.0
207,2015-08-10,"Dallas, TX",1378.3109,6703020.0,2370055.0,100545.0,150818.0
208,2015-08-10,"Houston, TX",1615.0567,6204141.0,2112447.0,62041.0,99266.0
209,2015-08-10,"Los Angeles, CA",2195.4071,13060534.0,4244676.0,104484.0,313452.0
210,2015-08-10,"Phoenix, AZ",1298.6114,4337542.0,1550372.0,28917.0,57834.0
211,2015-08-10,"Portland, OR",2416.3551,2288796.0,878078.0,34332.0,75530.0
212,2015-08-10,"San Antonio, TX",1175.5395,2239222.0,771789.0,22392.0,44784.0
213,2015-08-10,"Tucson, AZ",814.0289,993144.0,386155.0,3973.0,9535.0
214,2015-08-17,"Ann Arbor, MI",1117.1436,351454.0,136471.0,7029.0,11246.0
215,2015-08-17,"Boston, MA",2334.8869,4650876.0,1764845.0,23254.0,46508.0
216,2015-08-17,"Charleston, SC",1650.9522,697281.0,264864.0,3486.0,9296.0
217,2015-08-17,"Dallas, TX",1380.4046,6703020.0,2370055.0,40218.0,100545.0
218,2015-08-17,"Houston, TX",1615.9543,6204141.0,2112447.0,46531.0,65143.0
219,2015-08-17,"Los Angeles, CA",2200.9827,13060534.0,4244676.0,97954.0,235090.0
220,2015-08-17,"Phoenix, AZ",1300.3799,4337542.0,1550372.0,57834.0,159044.0
221,2015-08-17,"Portland, OR",2423.1898,2288796.0,878078.0,22888.0,76293.0
222,2015-08-17,"San Antonio, TX",1175.5395,2239222.0,771789.0,16794.0,50382.0
223,2015-08-24,"Ann Arbor, MI",1117.1436,351454.0,136471.0,3515.0,14060.0
224,2015-08-24,"Charleston, SC",1650.9522,697281.0,264864.0,13946.0,25103.0
225,2015-08-24,"Dallas, TX",1382.6212,6703020.0,2370055.0,67030.0,201090.0
226,2015-08-24,"Houston, TX",1615.4924,6204141.0,2112447.0,82722.0,220592.0
227,2015-08-24,"Los Angeles, CA",2204.5929,13060534.0,4244676.0,52242.0,208968.0
228,2015-08-24,"Phoenix, AZ",1302.1043,4337542.0,1550372.0,34700.0,127233.0
229,2015-08-24,"Portland, OR",2429.7334,2288796.0,878078.0,17166.0,25749.0
230,2015-08-24,"San Antonio, TX",1175.5395,2239222.0,771789.0,22392.0,44784.0
231,2015-08-31,"Ann Arbor, MI",1117.1436,351454.0,136471.0,3515.0,10545.0
232,2015-08-31,"Boston, MA",2339.7534,4650876.0,1764845.0,37207.0,136426.0
233,2015-08-31,"Charleston, SC",1650.9522,697281.0,264864.0,2789.0,8367.0
234,2015-08-31,"Colorado Springs, CO",931.9375,669070.0,249765.0,4460.0,13380.0
235,2015-08-31,"Dallas, TX",1387.1355,6703020.0,2370055.0,134060.0,214496.0
236,2015-08-31,"Houston, TX",1615.5378,6204141.0,2112447.0,62041.0,227484.0
237,2015-08-31,"Los Angeles, CA",2209.2173,13060534.0,4244676.0,130605.0,435350.0
238,2015-08-31,"Phoenix, AZ",1388.8439,4337542.0,1550372.0,65063.0,173501.0
239,2015-08-31,"Portland, OR",2423.5304,2288796.0,878078.0,45776.0,54931.0
240,2015-08-31,"San Antonio, TX",1175.5395,2239222.0,771789.0,22392.0,44784.0
241,2015-09-07,"Ann Arbor, MI",1117.1436,351454.0,136471.0,3515.0,5624.0
242,2015-09-07,"Boston, MA",2339.7534,4650876.0,1764845.0,23254.0,55810.0
243,2015-09-07,"Charleston, SC",1650.9522,697281.0,264864.0,5578.0,11156.0
244,2015-09-07,"Colorado Springs, CO",931.9375,669070.0,249765.0,2676.0,8920.0
245,2015-09-07,"Dallas, TX",1394.6165,6703020.0,2370055.0,67030.0,223433.0
246,2015-09-07,"Durham, NC",1030.3814,525050.0,206783.0,7876.0,23628.0
247,2015-09-07,"Houston, TX",1615.969,6204141.0,2112447.0,46531.0,108572.0
248,2015-09-07,"Los Angeles, CA",2222.9838,13060534.0,4244676.0,65303.0,130606.0
249,2015-09-07,"Phoenix, AZ",1307.9547,4337542.0,1550372.0,32532.0,130128.0
250,2015-09-07,"Portland, OR",2403.2123,2288796.0,878078.0,30517.0,91551.0
251,2015-09-07,"Salt Lake City, UT",1210.9566,1123643.0,366510.0,11236.0,26217.0
252,2015-09-07,"San Antonio, TX",1175.5395,2239222.0,771789.0,22392.0,35827.0
253,2015-09-07,"San Francisco, CA",4314.6926,4466251.0,1642466.0,26798.0,60296.0
254,2015-09-07,"Washington, DC",2035.8917,5863608.0,2112551.0,35182.0,96750.0
255,2015-09-14,"Ann Arbor, MI",1117.1436,351454.0,136471.0,2343.0,4217.0
256,2015-09-14,"Boston, MA",2339.7534,4650876.0,1764845.0,34882.0,139528.0
257,2015-09-14,"Charleston, SC",1650.9522,697281.0,264864.0,2789.0,8367.0
258,2015-09-14,"Colorado Springs, CO",931.9375,669070.0,249765.0,4014.0,7225.0
259,2015-09-14,"Dallas, TX",1402.0421,6703020.0,2370055.0,67030.0,120654.0
260,2015-09-14,"Durham, NC",1030.3814,525050.0,206783.0,3938.0,7876.0
261,2015-09-14,"Houston, TX",1616.694,6204141.0,2112447.0,62041.0,111674.0
262,2015-09-14,"Los Angeles, CA",2221.182,13060534.0,4244676.0,78363.0,117544.0
263,2015-09-14,"Phoenix, AZ",1306.5742,4337542.0,1550372.0,86751.0,231336.0
264,2015-09-14,"Portland, OR",2372.4367,2288796.0,878078.0,13733.0,54932.0
265,2015-09-14,"Salt Lake City, UT",1210.9566,1123643.0,366510.0,5618.0,13109.0
266,2015-09-14,"San Antonio, TX",1175.5395,2239222.0,771789.0,11196.0,41052.0
267,2015-09-14,"San Francisco, CA",4314.6926,4466251.0,1642466.0,29775.0,69475.0
268,2015-09-14,"Washington, DC",2035.8917,5863608.0,2112551.0,58636.0,93818.0
269,2015-09-21,"Ann Arbor, MI",1120.8083,351454.0,136471.0,3515.0,8436.0
270,2015-09-21,"Boston, MA",2339.7534,4650876.0,1764845.0,37207.0,74414.0
271,2015-09-21,"Charleston, SC",1650.9522,697281.0,264864.0,9297.0,13016.0
272,2015-09-21,"Charlotte, NC",955.0,2298915.0,857926.0,34484.0,103452.0
273,2015-09-21,"Colorado Springs, CO",931.9375,669070.0,249765.0,10036.0,17563.0
274,2015-09-21,"Dallas, TX",1409.4814,6703020.0,2370055.0,100545.0,251362.0
275,2015-09-21,"Durham, NC",1030.3814,525050.0,206783.0,3938.0,4726.0
276,2015-09-21,"Houston, TX",1624.4538,6204141.0,2112447.0,31021.0,37225.0
277,2015-09-21,"Los Angeles, CA",2209.1253,13060534.0,4244676.0,97954.0,117545.0
278,2015-09-21,"Phoenix, AZ",1305.3373,4337542.0,1550372.0,65063.0,173501.0
279,2015-09-21,"Portland, OR",2357.4626,2288796.0,878078.0,22888.0,45776.0
280,2015-09-21,"Raleigh, NC",960.4984,1189579.0,440375.0,7931.0,11103.0
281,2015-09-21,"Salt Lake City, UT",1210.9566,1123643.0,366510.0,16855.0,33710.0
282,2015-09-21,"San Antonio, TX",1175.5395,2239222.0,771789.0,13435.0,49262.0
283,2015-09-21,"San Francisco, CA",4314.6926,4466251.0,1642466.0,22331.0,53594.0
284,2015-09-21,"Washington, DC",2035.8917,5863608.0,2112551.0,58636.0,102613.0
285,2015-09-28,"Ann Arbor, MI",1120.8083,351454.0,136471.0,3515.0,4921.0
286,2015-09-28,"Boston, MA",2339.7534,4650876.0,1764845.0,31006.0,113689.0
287,2015-09-28,"Charleston, SC",1650.9522,697281.0,264864.0,4184.0,8368.0
288,2015-09-28,"Charlotte, NC",955.0,2298915.0,857926.0,22989.0,57472.0
289,2015-09-28,"Colorado Springs, CO",1012.8125,669070.0,249765.0,8921.0,10705.0
290,2015-09-28,"Dallas, TX",1406.9378,6703020.0,2370055.0,67030.0,245777.0
291,2015-09-28,"Durham, NC",1030.3814,525050.0,206783.0,5250.0,10500.0
292,2015-09-28,"Houston, TX",1624.6552,6204141.0,2112447.0,93062.0,209390.0
293,2015-09-28,"Los Angeles, CA",2173.6236,13060534.0,4244676.0,97954.0,261211.0
294,2015-09-28,"Phoenix, AZ",1305.5059,4337542.0,1550372.0,43375.0,86750.0
295,2015-09-28,"Portland, OR",2339.6136,2288796.0,878078.0,18310.0,32958.0
296,2015-09-28,"Raleigh, NC",960.4984,1189579.0,440375.0,4758.0,10468.0
297,2015-09-28,"Salt Lake City, UT",1210.9566,1123643.0,366510.0,11236.0,30899.0
298,2015-09-28,"San Antonio, TX",1175.5395,2239222.0,771789.0,22392.0,39186.0
299,2015-09-28,"San Francisco, CA",4347.1919,4466251.0,1642466.0,59550.0,178650.0
300,2015-09-28,"Washington, DC",2035.8917,5863608.0,2112551.0,35182.0,56291.0
301,2015-10-05,"Ann Arbor, MI",1120.8083,351454.0,136471.0,3515.0,5272.0
302,2015-10-05,"Boston, MA",2333.4031,4650876.0,1764845.0,37207.0,74414.0
303,2015-10-05,"Charleston, SC",1650.9522,697281.0,264864.0,6973.0,9762.0
304,2015-10-05,"Charlotte, NC",955.0,2298915.0,857926.0,22989.0,63220.0
